Hidden Units,Learning Rate,Batch Size,Epochs,Best Train Accuracy,Final Train Accuracy,Best Test Accuracy,Final Test Accuracy,Best Train Loss,Final Train Loss,Best Test Loss,Final Test Loss
64,0.001,20,20,99.0625,99.0625,97.5,97.5,0.0514080252760322,0.0514080252760322,0.0930757774040103,0.0951961348764598
64,0.001,12,20,99.0625,99.0625,97.5,97.5,0.0375384234055807,0.0375384234055807,0.0914717452334506,0.0972601916374904
64,0.001,12,30,99.375,99.375,97.5,97.5,0.0259223172604968,0.0259223172604968,0.0883004654731069,0.1011911778311644
32,0.001,12,30,99.11504424778761,99.11504424778761,98.82352941176471,96.47058823529412,0.03557030859820802,0.03557030859820802,0.07721247917288565,0.08719741629829514
